Headgroups,P = Phospho-,Pyr = Pyrophospho
m/z,Name,Formula
228.0273138,P+Ara4N,C5H11NO7P
210.0167491,P+Ara4N*d,C5H9NO6P
140.0112698,P+EtN,C2H7NO4P
122.0007051,P+EtN*d,C2H5NO3P
258.0378785,P+GalN,C6H13NO8P
240.0273138,P+GalN*d,C6H11NO7P
96.96907059,Phosphate,H2PO4
78.9585059,Phosphate*d,PO3
307.9936447,Pyr+Ara4N,C5H12NO10P2
289.98308,Pyr+Ara4N*d,C5H10NO9P2
219.9776007,Pyr+EtN,C2H8NO7P2
201.967036,Pyr+EtN*d,C2H6NO6P2
338.0042094,Pyr+GalN,C6H14NO11P2
319.9936447,Pyr+GalN*d,C6H12NO10P2
176.9354015,Pyrophosphate,H3P2O7
158.9248368,Pyrophosphate*d,HP2O6
256.901775,Triphosphate,H5P3O10
238.8912103,Triphosphate*d,H3P3O9
