Headgroups,"P = Phospho-,Pyr = Pyrophospho,*d = dehydrated, $$ = not a headgroup",
m/z,Name,Formula
149.0688079,Ara4N,C5H11NO4
131.0582432,Ara4N*d,C5H9NO3
61.05276387,EtN,C2H7NO
43.04219918,EtN*d,C2H5N
179.0793726,GalN,C6H13NO5
161.0688079,GalN*d,C6H11NO4
0,NIL,None
229.0351388,P+Ara4N,C5H12NO7P
211.0245741,P+Ara4N*d,C5H10NO6P
141.0190948,P+EtN,C2H8NO4P
123.0085301,P+EtN*d,C2H6NO3P
259.0457035,P+GalN,C6H14NO8P
241.0351388,P+GalN*d,C6H12NO7P
97.97689562,Phosphate,H3PO4
79.96633093,Phosphate*d,HPO3
309.0014697,Pyr+Ara4N,C5H13NO10P2
290.990905,Pyr+Ara4N*d,C5H11NO9P2
220.9854257,Pyr+EtN,C2H9NO7P2
202.974861,Pyr+EtN*d,C2H7NO6P2
339.0120344,Pyr+GalN,C6H15NO11P2
321.0014697,Pyr+GalN*d,C6H13NO10P2
177.9432265,Pyrophosphate,H4P2O7
159.9326618,Pyrophosphate*d,H2P2O6
257.9096,Triphosphate,H5P3O10
239.8990353,Triphosphate*d,H3P3O9
18.01056469,Water,H2O
