HG,HG.C,HG.H,HG.O,HG.N,HG.P
P,0,1,3,0,1
PP,0,2,6,0,2
PPP,0,3,9,0,3
PPPP,0,4,12,0,4
PEtN,2,6,3,1,1
PPEtN,2,7,6,1,2
PPPEtN,2,8,9,1,3
PPPPEtN,2,9,12,1,4
PEtNPEtN,4,12,6,2,2
PPEtNPEtN,4,13,9,2,3
PPEtNPPEtN,4,14,12,2,4
PAra4N,5,10,6,1,1
PPAra4N,5,11,9,1,2
PPPAra4N,5,12,12,1,3
PAra4NPAra4N,10,20,12,2,2
PPAra4NPAra4N,10,21,15,2,3
PPAra4NPPAra4N,10,22,18,2,4
PGalN,6,12,7,1,1
PPGalN,6,13,10,1,2
PPPGalN,6,14,13,1,3
PGalNPGalN,12,24,14,2,2
PPGalNPGalN,12,25,17,2,3
PPGalNPPGalN,12,26,20,2,4
FREE_OH,0,0,0,0,0
