m/z,Area
1053.663,17048.0
1053.367,12.0
1053.207,12.0
1053.016,12.0
1052.843,12.0
1052.675,48.0
1052.506,12.0
1052.224,12.0
1051.71,24.0
1050.368,74.0
1035.646,1414.0
1032.406,24.0
1017.637,63.0
937.691,36.0
869.4758,36.0
853.4935,165.0
851.4453,36.0
835.4681,84.0
817.4385,24.0
809.4552,24.0
792.4168,48.0
777.7807,24.0
769.4217,206.0
768.6825,24.0
768.4335,11248.0
766.0279,48.0
750.4428,24.0
738.4302,36.0
719.4823,24.0
708.4042,1266.0
706.1952,24.0
690.412,24.0
666.396,76.0
648.3879,111.0
630.4044,24.0
610.429,36.0
586.255,48.0
568.2611,540.0
550.2382,36.0
526.2495,24.0
508.2308,221.0
484.2288,24.0
466.2174,24.0
448.2028,90.0
430.1967,36.0
428.2607,48.0
423.9569,24.0
410.2574,63.0
364.1975,24.0
350.2495,24.0
332.225,24.0
326.2221,24.0
308.2239,48.0
266.212,36.0
249.9735,12.0
244.1186,12.0
243.2075,12.0
242.2129,48.0
238.7231,12.0
226.0747,12.0
225.1832,12.0
224.8507,12.0
224.2053,12.0
214.9683,12.0
199.1705,151.0
198.9983,60.0
198.1876,24.0
187.913,12.0
183.1753,24.0
180.9886,192.0
149.3691,24.0
101.0224,24.0
96.97142,458.0
78.96029,1148.0
78.7186,24.0
