Parent Ion,Daughter Ion,Neutral Loss,Hit,Hit Name,Diff.
1053.663,1035.646,18.017000000000053,18.01056469,Water,6.435,mDa
1035.646,1017.637,18.009000000000015,18.01056469,Water,1.565,mDa
869.4758,738.4302,131.04560000000004,131.0582432,Ara4N*d,12.643,mDa
869.4758,708.4042,161.0716000000001,161.0688079,GalN*d,2.792,mDa
869.4758,610.429,259.0468000000001,259.0457035,P+GalN,1.097,mDa
853.4935,835.4681,18.02539999999999,18.01056469,Water,14.835,mDa
835.4681,792.4168,43.05130000000008,43.04219918,EtN*d,9.101,mDa
809.4552,648.3879,161.06730000000005,161.0688079,GalN*d,1.508,mDa
708.4042,610.429,97.97519999999997,97.97689562,Phosphate,1.696,mDa
666.396,648.3879,18.008100000000013,18.01056469,Water,2.465,mDa
568.2611,550.2382,18.02290000000005,18.01056469,Water,12.335,mDa
526.2495,508.2308,18.018700000000024,18.01056469,Water,8.135,mDa
526.2495,428.2607,97.98880000000003,97.97689562,Phosphate,11.904,mDa
508.2308,428.2607,79.9701,79.96633093,Phosphate*d,3.769,mDa
508.2308,410.2574,97.97339999999997,97.97689562,Phosphate,3.496,mDa
484.2288,466.2174,18.01139999999998,18.01056469,Water,0.835,mDa
484.2288,243.2075,241.02129999999997,241.0351388,P+GalN*d,13.839,mDa
484.2288,225.1832,259.0456,259.0457035,P+GalN,0.104,mDa
466.2174,448.2028,18.014599999999973,18.01056469,Water,4.035,mDa
466.2174,225.1832,241.0342,241.0351388,P+GalN*d,0.939,mDa
448.2028,430.1967,18.006100000000004,18.01056469,Water,4.465,mDa
430.1967,332.225,97.9717,97.97689562,Phosphate,5.196,mDa
428.2607,410.2574,18.003299999999967,18.01056469,Water,7.265,mDa
364.1975,266.212,97.9855,97.97689562,Phosphate,8.604,mDa
350.2495,332.225,18.02449999999999,18.01056469,Water,13.935,mDa
326.2221,308.2239,17.998199999999997,18.01056469,Water,12.365,mDa
243.2075,225.1832,18.02430000000001,18.01056469,Water,13.735,mDa
242.2129,224.2053,18.007599999999996,18.01056469,Water,2.965,mDa
242.2129,199.1705,43.04239999999999,43.04219918,EtN*d,0.201,mDa
198.9983,180.9886,18.00970000000001,18.01056469,Water,0.865,mDa
198.9983,101.0224,97.9759,97.97689562,Phosphate,0.996,mDa
180.9886,101.0224,79.96619999999999,79.96633093,Phosphate*d,0.131,mDa
96.97142,78.96029,18.011129999999994,18.01056469,Water,0.565,mDa
