Parent Ion,Daughter Ion,Neutral Loss,Hit,Hit Name,Diff.
1053.663,853.4935,200.16949999999997,200.17763,C12:0 acid,8.13,mDa
1053.663,817.4385,236.22450000000003,236.214016,C16:1 ketene,10.484,mDa
1053.663,809.4552,244.20780000000002,244.203845,C14:0_(OH) acid,3.955,mDa
1035.646,853.4935,182.15249999999992,182.167065,C12:0 ketene,14.565,mDa
1035.646,835.4681,200.1778999999999,200.17763,C12:0 acid,0.27,mDa
1035.646,809.4552,226.19079999999997,226.19328,C14:0_(OH) ketene,2.48,mDa
1017.637,835.4681,182.1688999999999,182.167065,C12:0 ketene,1.835,mDa
1017.637,809.4552,208.18179999999995,208.182715,C14:1 ketene,0.915,mDa
768.4335,586.255,182.17849999999999,182.167065,C12:0 ketene,11.435,mDa
768.4335,568.2611,200.17239999999993,200.17763,C12:0 acid,5.23,mDa
750.4428,568.2611,182.18169999999998,182.167065,C12:0 ketene,14.635,mDa
750.4428,508.2308,242.21200000000005,242.22458,C15:0 acid,12.58,mDa
738.4302,526.2495,212.1807,212.17763,C13:0_(OH) ketene,3.07,mDa
738.4302,508.2308,230.19940000000003,230.188195,C13:0_(OH) acid,11.205,mDa
708.4042,526.2495,182.15469999999993,182.167065,C12:0 ketene,12.365,mDa
708.4042,508.2308,200.17339999999996,200.17763,C12:0 acid,4.23,mDa
690.412,508.2308,182.18120000000005,182.167065,C12:0 ketene,14.135,mDa
666.396,484.2288,182.16719999999998,182.167065,C12:0 ketene,0.135,mDa
666.396,466.2174,200.17859999999996,200.17763,C12:0 acid,0.97,mDa
666.396,430.1967,236.19929999999994,236.214016,C16:1 ketene,14.716,mDa
648.3879,466.2174,182.17049999999995,182.167065,C12:0 ketene,3.435,mDa
648.3879,448.2028,200.18509999999992,200.17763,C12:0 acid,7.47,mDa
630.4044,428.2607,202.14370000000002,202.156895,C11:0_(OH) acid,13.195,mDa
610.429,428.2607,182.1683,182.167065,C12:0 ketene,1.235,mDa
610.429,410.2574,200.17159999999996,200.17763,C12:0 acid,6.03,mDa
