Ion,Hit,Hit Name,Diff.,Mode
1279.856,1279.8535920100003,Di-glucosamine.Phosphate.Water.C14:0_(OH) acid.NIL.C16:0_(OH) ketene.C12:0 ketene.C12:0_(OH) acid.NIL.NIL,1.881,ppm
1279.856,1279.8535920100003,Di-glucosamine.Water.Phosphate.C14:0_(OH) acid.NIL.C16:0_(OH) ketene.C12:0 ketene.C12:0_(OH) acid.NIL.NIL,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Phosphate.Water.C12:0_(OH) acid.C12:0 ketene.C16:0_(OH) ketene.NIL.C14:0_(OH) acid.NIL.NIL,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Phosphate.Water.C12:0_(OH) acid.C12:0 ketene.NIL.NIL.C14:0_(OH) acid.C16:0_(OH) ketene.NIL,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Phosphate.Water.C12:0_(OH) acid.C14:0 ketene.C14:0_(OH) ketene.NIL.C14:0_(OH) acid.NIL.NIL,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Phosphate.Water.C12:0_(OH) acid.C14:0 ketene.NIL.NIL.C12:0_(OH) acid.C16:0_(OH) ketene.NIL,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Phosphate.Water.C12:0_(OH) acid.NIL.C14:0_(OH) ketene.C14:0 ketene.C14:0_(OH) acid.NIL.NIL,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Phosphate.Water.C12:0_(OH) acid.NIL.C16:0_(OH) ketene.C12:0 ketene.C14:0_(OH) acid.NIL.NIL,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Phosphate.Water.C12:0_(OH) acid.NIL.NIL.NIL.C12:0_(OH) acid.C16:0_(OH) ketene.C14:0 ketene,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Phosphate.Water.C12:0_(OH) acid.NIL.NIL.NIL.C14:0_(OH) acid.C14:0_(OH) ketene.C14:0 ketene,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Phosphate.Water.C12:0_(OH) acid.NIL.NIL.NIL.C14:0_(OH) acid.C16:0_(OH) ketene.C12:0 ketene,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Phosphate.Water.C14:0_(OH) acid.C12:0 ketene.C14:0_(OH) ketene.NIL.C14:0_(OH) acid.NIL.NIL,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Phosphate.Water.C14:0_(OH) acid.C12:0 ketene.NIL.NIL.C12:0_(OH) acid.C16:0_(OH) ketene.NIL,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Phosphate.Water.C14:0_(OH) acid.C14:0 ketene.NIL.NIL.C14:0_(OH) acid.C12:0_(OH) ketene.NIL,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Phosphate.Water.C14:0_(OH) acid.NIL.C14:0_(OH) ketene.C12:0 ketene.C14:0_(OH) acid.NIL.NIL,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Phosphate.Water.C14:0_(OH) acid.NIL.NIL.NIL.C12:0_(OH) acid.C14:0_(OH) ketene.C14:0 ketene,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Phosphate.Water.C14:0_(OH) acid.NIL.NIL.NIL.C12:0_(OH) acid.C16:0_(OH) ketene.C12:0 ketene,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Phosphate.Water.C14:0_(OH) acid.NIL.NIL.NIL.C14:0_(OH) acid.C12:0_(OH) ketene.C14:0 ketene,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Phosphate.Water.C14:0_(OH) acid.NIL.NIL.NIL.C14:0_(OH) acid.C14:0_(OH) ketene.C12:0 ketene,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Water.Phosphate.C12:0_(OH) acid.C12:0 ketene.C16:0_(OH) ketene.NIL.C14:0_(OH) acid.NIL.NIL,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Water.Phosphate.C12:0_(OH) acid.C12:0 ketene.NIL.NIL.C14:0_(OH) acid.C16:0_(OH) ketene.NIL,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Water.Phosphate.C12:0_(OH) acid.C14:0 ketene.C14:0_(OH) ketene.NIL.C14:0_(OH) acid.NIL.NIL,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Water.Phosphate.C12:0_(OH) acid.C14:0 ketene.NIL.NIL.C12:0_(OH) acid.C16:0_(OH) ketene.NIL,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Water.Phosphate.C12:0_(OH) acid.NIL.C14:0_(OH) ketene.C14:0 ketene.C14:0_(OH) acid.NIL.NIL,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Water.Phosphate.C12:0_(OH) acid.NIL.C16:0_(OH) ketene.C12:0 ketene.C14:0_(OH) acid.NIL.NIL,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Water.Phosphate.C12:0_(OH) acid.NIL.NIL.NIL.C12:0_(OH) acid.C16:0_(OH) ketene.C14:0 ketene,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Water.Phosphate.C12:0_(OH) acid.NIL.NIL.NIL.C14:0_(OH) acid.C14:0_(OH) ketene.C14:0 ketene,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Water.Phosphate.C12:0_(OH) acid.NIL.NIL.NIL.C14:0_(OH) acid.C16:0_(OH) ketene.C12:0 ketene,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Water.Phosphate.C14:0_(OH) acid.C12:0 ketene.C14:0_(OH) ketene.NIL.C14:0_(OH) acid.NIL.NIL,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Water.Phosphate.C14:0_(OH) acid.C12:0 ketene.NIL.NIL.C12:0_(OH) acid.C16:0_(OH) ketene.NIL,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Water.Phosphate.C14:0_(OH) acid.C14:0 ketene.NIL.NIL.C14:0_(OH) acid.C12:0_(OH) ketene.NIL,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Water.Phosphate.C14:0_(OH) acid.NIL.C14:0_(OH) ketene.C12:0 ketene.C14:0_(OH) acid.NIL.NIL,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Water.Phosphate.C14:0_(OH) acid.NIL.NIL.NIL.C12:0_(OH) acid.C14:0_(OH) ketene.C14:0 ketene,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Water.Phosphate.C14:0_(OH) acid.NIL.NIL.NIL.C12:0_(OH) acid.C16:0_(OH) ketene.C12:0 ketene,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Water.Phosphate.C14:0_(OH) acid.NIL.NIL.NIL.C14:0_(OH) acid.C12:0_(OH) ketene.C14:0 ketene,1.881,ppm
1279.856,1279.85359201,Di-glucosamine.Water.Phosphate.C14:0_(OH) acid.NIL.NIL.NIL.C14:0_(OH) acid.C14:0_(OH) ketene.C12:0 ketene,1.881,ppm
1279.856,1279.8535920099998,Di-glucosamine.Phosphate.Water.C12:0_(OH) acid.C14:0 ketene.C16:0_(OH) ketene.NIL.C12:0_(OH) acid.NIL.NIL,1.881,ppm
1279.856,1279.8535920099998,Di-glucosamine.Phosphate.Water.C12:0_(OH) acid.C14:0 ketene.NIL.NIL.C14:0_(OH) acid.C14:0_(OH) ketene.NIL,1.881,ppm
1279.856,1279.8535920099998,Di-glucosamine.Phosphate.Water.C12:0_(OH) acid.NIL.C16:0_(OH) ketene.C14:0 ketene.C12:0_(OH) acid.NIL.NIL,1.881,ppm
1279.856,1279.8535920099998,Di-glucosamine.Phosphate.Water.C14:0_(OH) acid.C12:0 ketene.C16:0_(OH) ketene.NIL.C12:0_(OH) acid.NIL.NIL,1.881,ppm
1279.856,1279.8535920099998,Di-glucosamine.Phosphate.Water.C14:0_(OH) acid.C12:0 ketene.NIL.NIL.C14:0_(OH) acid.C14:0_(OH) ketene.NIL,1.881,ppm
1279.856,1279.8535920099998,Di-glucosamine.Phosphate.Water.C14:0_(OH) acid.C14:0 ketene.C14:0_(OH) ketene.NIL.C12:0_(OH) acid.NIL.NIL,1.881,ppm
1279.856,1279.8535920099998,Di-glucosamine.Phosphate.Water.C14:0_(OH) acid.C14:0 ketene.NIL.NIL.C12:0_(OH) acid.C14:0_(OH) ketene.NIL,1.881,ppm
1279.856,1279.8535920099998,Di-glucosamine.Phosphate.Water.C14:0_(OH) acid.NIL.C14:0_(OH) ketene.C14:0 ketene.C12:0_(OH) acid.NIL.NIL,1.881,ppm
1279.856,1279.8535920099998,Di-glucosamine.Water.Phosphate.C12:0_(OH) acid.C14:0 ketene.C16:0_(OH) ketene.NIL.C12:0_(OH) acid.NIL.NIL,1.881,ppm
1279.856,1279.8535920099998,Di-glucosamine.Water.Phosphate.C12:0_(OH) acid.C14:0 ketene.NIL.NIL.C14:0_(OH) acid.C14:0_(OH) ketene.NIL,1.881,ppm
1279.856,1279.8535920099998,Di-glucosamine.Water.Phosphate.C12:0_(OH) acid.NIL.C16:0_(OH) ketene.C14:0 ketene.C12:0_(OH) acid.NIL.NIL,1.881,ppm
1279.856,1279.8535920099998,Di-glucosamine.Water.Phosphate.C14:0_(OH) acid.C12:0 ketene.C16:0_(OH) ketene.NIL.C12:0_(OH) acid.NIL.NIL,1.881,ppm
1279.856,1279.8535920099998,Di-glucosamine.Water.Phosphate.C14:0_(OH) acid.C12:0 ketene.NIL.NIL.C14:0_(OH) acid.C14:0_(OH) ketene.NIL,1.881,ppm
1279.856,1279.8535920099998,Di-glucosamine.Water.Phosphate.C14:0_(OH) acid.C14:0 ketene.C14:0_(OH) ketene.NIL.C12:0_(OH) acid.NIL.NIL,1.881,ppm
1279.856,1279.8535920099998,Di-glucosamine.Water.Phosphate.C14:0_(OH) acid.C14:0 ketene.NIL.NIL.C12:0_(OH) acid.C14:0_(OH) ketene.NIL,1.881,ppm
1279.856,1279.8535920099998,Di-glucosamine.Water.Phosphate.C14:0_(OH) acid.NIL.C14:0_(OH) ketene.C14:0 ketene.C12:0_(OH) acid.NIL.NIL,1.881,ppm
1279.856,1279.8535917000002,Di-glucosamine.Phosphate.Water.C12:0_(OH) acid.C14:0 ketene.NIL.NIL.Water.C16:0_(OH) ketene.C12:0_(OH) ketene,1.882,ppm
1279.856,1279.8535917000002,Di-glucosamine.Phosphate.Water.C12:0_(OH) acid.C14:0_(OH) ketene.NIL.NIL.Water.C16:0_(OH) ketene.C12:0 ketene,1.882,ppm
1279.856,1279.8535917000002,Di-glucosamine.Phosphate.Water.C14:0_(OH) acid.C12:0 ketene.NIL.NIL.Water.C16:0_(OH) ketene.C12:0_(OH) ketene,1.882,ppm
1279.856,1279.8535917000002,Di-glucosamine.Phosphate.Water.C14:0_(OH) acid.C12:0_(OH) ketene.NIL.NIL.Water.C16:0_(OH) ketene.C12:0 ketene,1.882,ppm
1279.856,1279.8535917000002,Di-glucosamine.Phosphate.Water.C14:0_(OH) acid.C14:0 ketene.NIL.NIL.Water.C14:0_(OH) ketene.C12:0_(OH) ketene,1.882,ppm
1279.856,1279.8535917000002,Di-glucosamine.Phosphate.Water.C14:0_(OH) acid.C14:0_(OH) ketene.NIL.NIL.Water.C14:0_(OH) ketene.C12:0 ketene,1.882,ppm
1279.856,1279.8535917000002,Di-glucosamine.Phosphate.Water.C14:0_(OH) acid.NIL.C14:0_(OH) ketene.NIL.Water.C14:0_(OH) ketene.C12:0 ketene,1.882,ppm
1279.856,1279.8535917000002,Di-glucosamine.Phosphate.Water.Water.NIL.C14:0_(OH) ketene.NIL.C14:0_(OH) acid.C14:0_(OH) ketene.C12:0 ketene,1.882,ppm
1279.856,1279.8535917000002,Di-glucosamine.Water.Phosphate.C12:0_(OH) acid.C14:0 ketene.NIL.NIL.Water.C16:0_(OH) ketene.C12:0_(OH) ketene,1.882,ppm
1279.856,1279.8535917000002,Di-glucosamine.Water.Phosphate.C12:0_(OH) acid.C14:0_(OH) ketene.NIL.NIL.Water.C16:0_(OH) ketene.C12:0 ketene,1.882,ppm
1279.856,1279.8535917000002,Di-glucosamine.Water.Phosphate.C14:0_(OH) acid.C12:0 ketene.NIL.NIL.Water.C16:0_(OH) ketene.C12:0_(OH) ketene,1.882,ppm
1279.856,1279.8535917000002,Di-glucosamine.Water.Phosphate.C14:0_(OH) acid.C12:0_(OH) ketene.NIL.NIL.Water.C16:0_(OH) ketene.C12:0 ketene,1.882,ppm
1279.856,1279.8535917000002,Di-glucosamine.Water.Phosphate.C14:0_(OH) acid.C14:0 ketene.NIL.NIL.Water.C14:0_(OH) ketene.C12:0_(OH) ketene,1.882,ppm
1279.856,1279.8535917000002,Di-glucosamine.Water.Phosphate.C14:0_(OH) acid.C14:0_(OH) ketene.NIL.NIL.Water.C14:0_(OH) ketene.C12:0 ketene,1.882,ppm
1279.856,1279.8535917000002,Di-glucosamine.Water.Phosphate.C14:0_(OH) acid.NIL.C14:0_(OH) ketene.NIL.Water.C14:0_(OH) ketene.C12:0 ketene,1.882,ppm
1279.856,1279.8535917000002,Di-glucosamine.Water.Phosphate.Water.NIL.C14:0_(OH) ketene.NIL.C14:0_(OH) acid.C14:0_(OH) ketene.C12:0 ketene,1.882,ppm
1279.856,1279.8535917,Di-glucosamine.Phosphate.Water.C12:0_(OH) acid.C12:0 ketene.C16:0_(OH) ketene.C14:0_(OH) ketene.Water.NIL.NIL,1.882,ppm
1279.856,1279.8535917,Di-glucosamine.Phosphate.Water.C12:0_(OH) acid.C12:0 ketene.NIL.NIL.Water.C16:0_(OH) ketene.C14:0_(OH) ketene,1.882,ppm
1279.856,1279.8535917,Di-glucosamine.Phosphate.Water.C12:0_(OH) acid.C12:0_(OH) ketene.C16:0_(OH) ketene.C14:0 ketene.Water.NIL.NIL,1.882,ppm
1279.856,1279.8535917,Di-glucosamine.Phosphate.Water.C12:0_(OH) acid.C12:0_(OH) ketene.NIL.NIL.Water.C16:0_(OH) ketene.C14:0 ketene,1.882,ppm
