Ion,Hit,Hit Name,Diff.,Mode
994.6259,994.62319882,C.Phosphate.C12:0_(OH) acid.C12:0_(OH) ketene.C10:0_(OH) ketene.C10:0_(OH) ketene,2.716,ppm
976.6409,976.64901882,C.Phosphate.C12:0_(OH) acid.C12:0 ketene.C10:0_(OH) ketene.C11:0 ketene,8.313,ppm
976.6409,976.6126338199999,C.Phosphate.C12:0_(OH) acid.C12:0_(OH) ketene.C10:0_(OH) ketene.C10:1 ketene,28.942,ppm
810.4552,810.47686882,C.Phosphate.C12:0_(OH) acid.NIL.C10:0_(OH) ketene.C11:0_(OH) ketene,26.736,ppm
794.4618,794.48195382,C.Phosphate.C12:0_(OH) acid.NIL.C10:0_(OH) ketene.C11:0 ketene,25.367,ppm
666.4011,666.3982245100001,C.Phosphate.Water.NIL.C10:0_(OH) ketene.C16:0 ketene,4.315,ppm
666.4011,666.39822382,C.Phosphate.C12:0_(OH) acid.C14:0 ketene.NIL.NIL,4.316,ppm
666.4011,666.39822382,C.Phosphate.C14:0_(OH) acid.C12:0 ketene.NIL.NIL,4.316,ppm
666.4011,666.39822351,C.Phosphate.Water.NIL.C12:0_(OH) ketene.C14:0 ketene,4.316,ppm
666.4011,666.39822351,C.Phosphate.Water.NIL.C14:0_(OH) ketene.C12:0 ketene,4.316,ppm
666.4011,666.39822351,C.Phosphate.Water.NIL.C16:0_(OH) ketene.C10:0 ketene,4.316,ppm
648.3893,648.38765982,C.Phosphate.NIL.NIL.C10:0_(OH) ketene.C16:0 ketene,2.53,ppm
648.3893,648.38765882,C.Phosphate.NIL.NIL.C12:0_(OH) ketene.C14:0 ketene,2.531,ppm
648.3893,648.38765882,C.Phosphate.NIL.NIL.C14:0_(OH) ketene.C12:0 ketene,2.531,ppm
648.3893,648.38765882,C.Phosphate.NIL.NIL.C16:0_(OH) ketene.C10:0 ketene,2.531,ppm
448.2127,448.21002882,C.Phosphate.NIL.NIL.C14:1 ketene.NIL,5.96,ppm
