Ion,Hit,Hit Name,Diff.,Mode
1000.631,1000.64901812,02A2.Phosphate.C14:1 acid.NIL.C16:0_(OH) ketene.C13:0 ketene.NIL,18.006,ppm
1000.631,1000.64901812,02A2.Phosphate.NIL.NIL.C16:0_(OH) ketene.C13:0 ketene.C14:1 acid,18.006,ppm
1000.631,1000.6490191199999,02A2.Phosphate.C12:1 acid.NIL.C16:0_(OH) ketene.C15:0 ketene.NIL,18.007,ppm
1000.631,1000.6490191199999,02A2.Phosphate.C14:1 acid.NIL.C14:0_(OH) ketene.C15:0 ketene.NIL,18.007,ppm
1000.631,1000.6490191199999,02A2.Phosphate.NIL.NIL.C14:0_(OH) ketene.C15:0 ketene.C14:1 acid,18.007,ppm
1000.631,1000.64901912,02A2.Phosphate.NIL.NIL.C16:0_(OH) ketene.C15:0 ketene.C12:1 acid,18.007,ppm
994.6305,994.6231988100001,02A2.Phosphate.Water.NIL.C10:0_(OH) ketene.C16:0 ketene.C14:0_(OH) acid,7.341,ppm
994.6305,994.62319881,02A2.Phosphate.C12:0_(OH) acid.NIL.C12:0_(OH) ketene.C16:0 ketene.Water,7.341,ppm
994.6305,994.62319881,02A2.Phosphate.C14:0_(OH) acid.NIL.C10:0_(OH) ketene.C16:0 ketene.Water,7.341,ppm
994.6305,994.62319881,02A2.Phosphate.Water.NIL.C12:0_(OH) ketene.C16:0 ketene.C12:0_(OH) acid,7.341,ppm
994.6305,994.62319812,02A2.Phosphate.C12:0_(OH) acid.C14:0 ketene.NIL.NIL.C14:0_(OH) acid,7.341,ppm
994.6305,994.62319812,02A2.Phosphate.C14:0_(OH) acid.C12:0 ketene.NIL.NIL.C14:0_(OH) acid,7.341,ppm
994.6305,994.62319812,02A2.Phosphate.C14:0_(OH) acid.C14:0 ketene.NIL.NIL.C12:0_(OH) acid,7.341,ppm
994.6305,994.6231978100001,02A2.Phosphate.C12:0_(OH) acid.C12:0 ketene.C16:0_(OH) ketene.NIL.Water,7.342,ppm
994.6305,994.6231978100001,02A2.Phosphate.C14:0_(OH) acid.NIL.C16:0_(OH) ketene.C10:0 ketene.Water,7.342,ppm
994.6305,994.62319781,02A2.Phosphate.C12:0_(OH) acid.C14:0 ketene.C14:0_(OH) ketene.NIL.Water,7.342,ppm
